CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
844,99000,Training and Development,4.0,88000,36
684,15000,Wedding Expenses,5.67,13000,72
612,60000,Marketing and Advertising,7.53,49000,24
811,45000,Emergency Business Funds,2.75,42000,24
609,61000,Equipment Purchase,7.69,58000,24
631,26000,Community Projects,7.27,21000,24
781,48000,Business Expansion,2.75,42000,60
823,12000,Startup Capital,3.43,9000,12
704,68000,Working Capital,4.64,62000,36
829,10000,Social Enterprise,2.91,8000,24
729,66000,Equipment Purchase,5.27,63000,36
602,44000,Agriculture Expenses,7.84,39000,72
833,78000,Education Fees,3.12,69000,60
725,55000,Emergency Personal Funds,5.31,44000,48
760,97000,Vehicle for Business Use,3.9,88000,48
721,30000,Agriculture Expenses,4.94,27000,72
774,40000,Working Capital,3.23,35000,12
641,51000,Community Projects,8.91,45000,12
639,41000,Healthcare Expenses,7.74,39000,72
799,28000,Wedding Expenses,3.82,24000,72
753,52000,Childcare Expenses,3.17,50000,48
825,94000,Home Renovation,3.12,93000,60
740,7000,Inventory Purchase,4.69,6000,36
736,92000,Training and Development,4.36,76000,24
739,36000,Debt Consolidation,5.31,34000,60
670,37000,Working Capital,6.6,31000,36
840,61000,Utility Payments,3.03,56000,24
837,41000,Community Projects,3.81,38000,24
738,34000,Business Expansion,4.44,28000,48
666,8000,Travel Costs,5.51,7000,60
774,99000,Marketing and Advertising,3.87,89000,12
655,43000,Travel Costs,6.63,42000,60
690,93000,Education Fees,5.9,75000,48
760,57000,Emergency Business Funds,2.72,56000,36
686,94000,Home Renovation,6.31,80000,48
763,44000,Education Fees,2.53,42000,60
698,12000,Training and Development,5.49,11000,24
719,69000,Social Enterprise,5.01,56000,24
836,40000,Community Projects,2.63,34000,24
642,14000,Business Expansion,7.49,13000,48
694,93000,Home Renovation,6.9,89000,72
671,70000,Startup Capital,5.91,65000,24
679,79000,Travel Costs,5.58,63000,72
805,14000,Inventory Purchase,3.42,12000,12
642,56000,Business Expansion,8.74,47000,72
601,23000,Agriculture Expenses,7.59,22000,60
841,48000,Travel Costs,3.88,43000,72
718,77000,Healthcare Expenses,4.77,66000,48
793,25000,Social Enterprise,3.16,23000,12
638,7000,Utility Payments,7.91,6000,36
756,18000,Inventory Purchase,3.44,17000,12
633,21000,Equipment Purchase,8.69,17000,24
699,68000,Working Capital,6.79,55000,12
824,8000,Emergency Personal Funds,2.98,7000,72
811,26000,Emergency Personal Funds,3.64,23000,72
675,55000,Working Capital,6.74,47000,36
713,7000,Startup Capital,5.43,6000,36
768,89000,Healthcare Expenses,3.28,74000,60
708,16000,Training and Development,4.79,12000,12
810,26000,Startup Capital,3.25,25000,36
623,77000,Technology Upgrade,8.03,68000,12
738,44000,Emergency Business Funds,3.98,39000,36
711,99000,Equipment Purchase,4.49,93000,12
842,5000,Debt Consolidation,3.76,4000,72
604,90000,Travel Costs,7.46,87000,60
828,56000,Childcare Expenses,2.82,55000,48
778,80000,Equipment Purchase,3.3,65000,36
842,6000,Equipment Purchase,3.73,5000,36
734,10000,Marketing and Advertising,4.46,9000,12
787,97000,Agriculture Expenses,3.34,88000,60
747,87000,Healthcare Expenses,5.33,76000,48
601,62000,Emergency Business Funds,7.24,56000,12
717,87000,Utility Payments,4.07,74000,12
844,41000,Vehicle for Business Use,3.6,35000,72
845,94000,Equipment Purchase,2.81,93000,12
748,33000,Wedding Expenses,5.34,27000,60
606,34000,Travel Costs,7.29,28000,48
803,46000,Debt Consolidation,3.91,42000,60
778,50000,Emergency Personal Funds,2.97,49000,60
792,44000,Childcare Expenses,3.48,43000,60
707,70000,Inventory Purchase,4.46,56000,24
753,39000,Startup Capital,2.99,33000,24
718,50000,Community Projects,5.4,44000,24
846,51000,Emergency Personal Funds,2.47,44000,72
786,22000,Social Enterprise,3.42,19000,24
662,36000,Social Enterprise,6.07,28000,24
616,17000,Working Capital,7.93,15000,24
823,66000,Startup Capital,3.2,57000,36
675,40000,Emergency Personal Funds,5.9,34000,48
600,68000,Startup Capital,7.83,60000,36
616,28000,Inventory Purchase,8.72,24000,24
784,91000,Business Expansion,2.65,89000,72
693,93000,Startup Capital,6.21,75000,24
839,56000,Debt Consolidation,3.68,52000,72
731,41000,Agriculture Expenses,3.99,35000,48
791,39000,Startup Capital,3.31,35000,24
720,99000,Startup Capital,5.25,83000,36
826,97000,Working Capital,3.02,80000,24
671,19000,Marketing and Advertising,5.81,15000,36
794,23000,Community Projects,3.82,20000,24
751,61000,Community Projects,2.73,54000,12
798,62000,Equipment Purchase,3.71,61000,36
790,16000,Travel Costs,2.47,13000,72
665,76000,Education Fees,5.67,64000,72
629,44000,Agriculture Expenses,8.13,36000,60
601,6000,Home Renovation,8.01,5000,60
832,41000,Utility Payments,3.45,33000,36
748,88000,Utility Payments,4.49,87000,12
819,29000,Technology Upgrade,3.61,27000,12
740,19000,Utility Payments,5.09,15000,12
716,87000,Marketing and Advertising,4.06,85000,12
654,13000,Social Enterprise,6.26,11000,36
618,87000,Emergency Personal Funds,7.24,81000,72
670,26000,Equipment Purchase,6.92,23000,24
695,26000,Emergency Business Funds,6.52,25000,12
846,59000,Community Projects,3.44,55000,36
784,75000,Healthcare Expenses,3.15,68000,60
709,87000,Agriculture Expenses,5.29,74000,72
667,94000,Training and Development,6.48,83000,36
795,14000,Home Renovation,3.37,12000,48
683,80000,Community Projects,5.89,72000,24
770,85000,Education Fees,3.31,80000,48
818,60000,Healthcare Expenses,3.39,50000,60
712,8000,Healthcare Expenses,4.86,7000,48
767,87000,Working Capital,3.76,83000,24
688,62000,Utility Payments,5.96,56000,36
662,58000,Emergency Business Funds,5.89,57000,12
717,34000,Debt Consolidation,4.59,32000,72
671,42000,Debt Consolidation,6.33,37000,72
811,68000,Education Fees,3.22,62000,60
681,40000,Working Capital,6.83,39000,36
702,41000,Childcare Expenses,5.38,36000,60
821,44000,Community Projects,3.04,40000,12
704,34000,Debt Consolidation,4.8,27000,72
766,93000,Equipment Purchase,3.65,85000,12
730,26000,Marketing and Advertising,4.09,22000,36
660,71000,Marketing and Advertising,6.12,65000,12
715,71000,Marketing and Advertising,4.51,70000,12
819,74000,Equipment Purchase,3.88,59000,24
704,69000,Social Enterprise,4.76,68000,36
684,58000,Education Fees,5.68,51000,48
765,6000,Equipment Purchase,3.11,5000,24
622,13000,Education Fees,8.27,11000,60
742,23000,Debt Consolidation,5.16,18000,60
821,26000,Business Expansion,3.7,22000,48
824,84000,Emergency Business Funds,3.06,77000,24
754,96000,Education Fees,3.13,87000,60
832,17000,Travel Costs,3.19,16000,72
828,64000,Healthcare Expenses,3.76,51000,72
661,60000,Business Expansion,5.99,55000,72
693,35000,Community Projects,5.99,32000,24
713,6000,Healthcare Expenses,4.58,5000,72
709,37000,Emergency Personal Funds,4.12,30000,72
726,75000,Business Expansion,4.94,68000,48
712,69000,Social Enterprise,4.15,62000,24
664,15000,Agriculture Expenses,6.1,14000,60
602,46000,Vehicle for Business Use,7.72,45000,72
796,59000,Wedding Expenses,3.26,57000,60
668,40000,Business Expansion,6.66,37000,48
625,26000,Agriculture Expenses,7.72,24000,48
755,94000,Training and Development,3.64,89000,24
730,74000,Working Capital,5.43,62000,24
806,100000,Travel Costs,3.06,83000,48
792,11000,Education Fees,3.84,10000,48
687,12000,Technology Upgrade,6.37,11000,24
719,75000,Utility Payments,4.11,67000,24
713,91000,Green Initiatives,4.24,80000,12
684,10000,Marketing and Advertising,6.93,9000,36
755,66000,Emergency Business Funds,3.52,58000,36
816,32000,Agriculture Expenses,3.77,28000,60
770,34000,Home Renovation,3.24,29000,60
697,25000,Wedding Expenses,6.03,24000,72
672,71000,Wedding Expenses,6.92,59000,72
606,94000,Green Initiatives,7.74,85000,36
772,39000,Business Expansion,2.51,33000,48
638,38000,Travel Costs,7.5,33000,72
662,10000,Wedding Expenses,6.19,9000,72
608,78000,Technology Upgrade,7.69,70000,24
621,78000,Startup Capital,8.1,67000,24
667,58000,Startup Capital,6.03,50000,36
617,46000,Emergency Personal Funds,8.28,40000,60
805,51000,Agriculture Expenses,2.69,48000,48
639,6000,Marketing and Advertising,7.66,5000,36
678,39000,Emergency Personal Funds,6.18,33000,60
814,61000,Working Capital,3.31,49000,24
802,65000,Inventory Purchase,3.43,57000,12
810,36000,Vehicle for Business Use,3.17,31000,60
652,9000,Childcare Expenses,6.7,8000,48
677,92000,Emergency Personal Funds,5.97,84000,60
700,98000,Healthcare Expenses,4.38,86000,60
785,48000,Training and Development,2.56,46000,24
638,5000,Equipment Purchase,7.35,4000,12
766,56000,Equipment Purchase,3.34,55000,36
778,40000,Equipment Purchase,2.84,34000,12
774,45000,Business Expansion,3.4,36000,48
830,18000,Training and Development,3.76,14000,36
665,93000,Education Fees,6.36,79000,60
747,7000,Green Initiatives,4.25,5000,12
703,5000,Inventory Purchase,5.3,4000,12
684,28000,Training and Development,5.83,26000,36
631,26000,Travel Costs,7.56,23000,72
850,8000,Equipment Purchase,3.21,7000,36
629,76000,Education Fees,8.71,71000,48
665,87000,Technology Upgrade,6.38,76000,24
616,63000,Equipment Purchase,8.08,55000,36
654,77000,Inventory Purchase,6.14,75000,36
702,81000,Travel Costs,4.41,77000,72
683,52000,Childcare Expenses,5.65,51000,48
686,80000,Working Capital,6.21,70000,36
839,28000,Utility Payments,3.22,24000,36
647,82000,Inventory Purchase,8.38,74000,24
836,54000,Education Fees,3.91,52000,60
614,67000,Agriculture Expenses,7.15,65000,72
846,76000,Vehicle for Business Use,2.68,63000,72
653,23000,Home Renovation,6.85,18000,48
826,31000,Education Fees,2.95,27000,72
763,97000,Community Projects,3.3,78000,36
759,59000,Vehicle for Business Use,2.67,48000,48
672,47000,Wedding Expenses,5.52,38000,60
664,48000,Marketing and Advertising,5.53,38000,36
820,33000,Training and Development,3.25,28000,12
614,6000,Technology Upgrade,8.25,5000,24
787,83000,Startup Capital,2.51,66000,12
817,48000,Equipment Purchase,2.58,45000,24
703,88000,Green Initiatives,4.02,80000,24
733,81000,Emergency Personal Funds,4.11,74000,60
846,55000,Inventory Purchase,3.54,48000,24
724,100000,Equipment Purchase,5.43,96000,36
774,90000,Startup Capital,2.89,82000,12
844,35000,Emergency Personal Funds,3.39,28000,48
631,12000,Equipment Purchase,7.48,9000,24
684,16000,Healthcare Expenses,6.44,14000,48
750,25000,Debt Consolidation,3.69,21000,60
796,39000,Community Projects,3.05,35000,36
850,99000,Emergency Business Funds,2.46,83000,24
629,78000,Marketing and Advertising,7.33,68000,36
845,89000,Startup Capital,3.32,82000,12
748,40000,Equipment Purchase,5.03,33000,36
685,91000,Marketing and Advertising,6.28,75000,24
616,68000,Green Initiatives,8.13,59000,12
705,13000,Utility Payments,4.06,11000,24
639,97000,Marketing and Advertising,7.54,93000,24
721,75000,Travel Costs,4.95,64000,60
614,67000,Travel Costs,7.52,56000,48
678,88000,Travel Costs,5.56,80000,72
653,26000,Agriculture Expenses,6.86,23000,48
637,32000,Equipment Purchase,6.96,29000,12
848,22000,Working Capital,2.62,21000,24
830,15000,Emergency Business Funds,3.13,13000,36
686,69000,Healthcare Expenses,5.9,66000,60
735,49000,Working Capital,4.42,46000,24
616,31000,Healthcare Expenses,8.84,27000,60
652,29000,Childcare Expenses,6.01,26000,72
782,66000,Startup Capital,3.25,64000,36
663,97000,Emergency Business Funds,6.32,87000,12
681,33000,Wedding Expenses,5.65,27000,48
686,100000,Travel Costs,5.76,91000,60
798,71000,Inventory Purchase,2.64,59000,24
675,87000,Marketing and Advertising,6.66,70000,12
620,62000,Emergency Business Funds,7.07,56000,12
729,51000,Social Enterprise,4.25,45000,36
682,34000,Community Projects,6.77,31000,12
610,11000,Community Projects,7.89,10000,24
628,88000,Working Capital,7.96,82000,36
623,17000,Green Initiatives,7.22,13000,36
744,18000,Home Renovation,4.81,16000,72
620,53000,Vehicle for Business Use,7.53,50000,48
805,80000,Home Renovation,3.32,64000,48
781,97000,Education Fees,3.26,80000,48
760,59000,Debt Consolidation,3.92,51000,60
634,36000,Community Projects,7.3,29000,12
632,70000,Vehicle for Business Use,8.7,69000,72
738,79000,Education Fees,5.3,72000,48
632,7000,Home Renovation,8.28,5000,48
838,14000,Home Renovation,2.79,11000,48
679,15000,Agriculture Expenses,5.51,13000,60
825,69000,Marketing and Advertising,2.57,68000,24
645,66000,Green Initiatives,7.19,55000,36
662,17000,Emergency Personal Funds,7.0,14000,48
631,74000,Working Capital,8.83,66000,24
843,16000,Green Initiatives,3.42,14000,12
828,14000,Social Enterprise,3.23,13000,24
720,55000,Equipment Purchase,5.1,48000,24
794,83000,Agriculture Expenses,3.95,74000,48
650,16000,Social Enterprise,5.94,13000,36
680,5000,Education Fees,5.82,4000,48
836,23000,Marketing and Advertising,3.26,19000,36
733,21000,Working Capital,5.1,18000,24
727,54000,Training and Development,5.28,48000,36
608,47000,Travel Costs,7.6,40000,48
610,27000,Social Enterprise,7.76,22000,24
660,62000,Agriculture Expenses,6.59,59000,72
774,66000,Debt Consolidation,2.98,54000,60
850,88000,Inventory Purchase,3.37,71000,24
626,14000,Wedding Expenses,8.38,11000,48
721,92000,Childcare Expenses,4.86,88000,72
699,94000,Agriculture Expenses,6.91,79000,60
602,26000,Education Fees,8.68,25000,60
850,20000,Agriculture Expenses,3.36,19000,60
824,7000,Equipment Purchase,2.64,6000,36
731,97000,Equipment Purchase,4.76,82000,12
708,28000,Inventory Purchase,4.77,25000,24
619,22000,Community Projects,7.38,18000,36
701,63000,Childcare Expenses,3.98,55000,48
779,78000,Agriculture Expenses,2.75,63000,60
711,96000,Education Fees,3.97,88000,60
688,38000,Wedding Expenses,6.11,36000,72
771,46000,Green Initiatives,3.74,41000,36
718,37000,Vehicle for Business Use,4.05,36000,48
848,60000,Emergency Personal Funds,3.04,55000,60
680,63000,Debt Consolidation,6.66,56000,60
630,64000,Social Enterprise,7.25,61000,12
686,43000,Technology Upgrade,6.17,38000,36
728,46000,Wedding Expenses,5.36,40000,72
647,76000,Equipment Purchase,7.41,68000,12
622,68000,Education Fees,8.54,54000,60
776,8000,Marketing and Advertising,2.91,7000,12
625,18000,Healthcare Expenses,7.78,14000,60
664,49000,Emergency Personal Funds,5.78,43000,72
793,68000,Travel Costs,2.72,66000,72
638,41000,Equipment Purchase,8.06,38000,24
644,97000,Community Projects,8.25,79000,12
782,63000,Home Renovation,3.53,53000,72
740,45000,Home Renovation,5.27,39000,48
837,47000,Agriculture Expenses,3.86,37000,72
757,33000,Education Fees,3.85,28000,72
841,41000,Marketing and Advertising,2.77,34000,36
691,84000,Agriculture Expenses,6.23,68000,72
711,56000,Home Renovation,4.31,45000,72
650,12000,Green Initiatives,6.03,9000,36
791,38000,Emergency Personal Funds,2.78,33000,60
733,41000,Agriculture Expenses,5.33,34000,60
637,23000,Utility Payments,7.62,21000,36
812,53000,Education Fees,2.82,49000,60
741,61000,Community Projects,4.96,52000,24
711,87000,Agriculture Expenses,4.15,75000,48
703,13000,Community Projects,5.12,10000,24
620,33000,Wedding Expenses,8.65,32000,60
643,75000,Inventory Purchase,8.17,65000,12
695,92000,Technology Upgrade,5.73,80000,12
655,72000,Community Projects,6.23,58000,24
733,16000,Social Enterprise,4.22,13000,36
817,29000,Social Enterprise,3.93,28000,36
755,76000,Education Fees,3.44,68000,72
660,39000,Utility Payments,5.77,34000,12
786,97000,Working Capital,3.02,89000,24
742,30000,Home Renovation,4.86,25000,60
614,8000,Home Renovation,8.54,6000,48
623,51000,Home Renovation,7.26,50000,60
738,95000,Utility Payments,4.52,78000,24
628,57000,Wedding Expenses,8.5,49000,60
815,23000,Community Projects,2.7,21000,24
781,30000,Emergency Business Funds,2.65,24000,12
847,48000,Business Expansion,3.51,43000,60
621,13000,Emergency Business Funds,7.08,11000,12
617,18000,Vehicle for Business Use,8.73,14000,60
601,80000,Training and Development,7.17,64000,24
738,51000,Utility Payments,4.12,49000,12
613,91000,Childcare Expenses,7.49,84000,72
609,34000,Green Initiatives,8.03,29000,12
613,54000,Equipment Purchase,8.44,47000,12
710,96000,Business Expansion,4.47,80000,72
638,82000,Wedding Expenses,7.52,78000,60
672,63000,Emergency Personal Funds,6.57,53000,60
665,51000,Business Expansion,6.2,49000,60
756,70000,Wedding Expenses,3.3,66000,48
783,10000,Marketing and Advertising,3.5,8000,24
729,7000,Travel Costs,4.2,6000,60
665,28000,Equipment Purchase,5.77,23000,36
813,89000,Green Initiatives,3.15,78000,24
800,46000,Vehicle for Business Use,3.81,42000,60
704,82000,Working Capital,4.56,75000,12
734,57000,Travel Costs,5.26,56000,60
764,37000,Community Projects,3.14,31000,36
700,73000,Vehicle for Business Use,5.04,65000,48
672,6000,Social Enterprise,6.87,5000,36
601,75000,Education Fees,7.18,60000,72
712,69000,Education Fees,4.38,65000,72
677,41000,Working Capital,6.21,33000,12
702,37000,Startup Capital,4.34,32000,24
707,63000,Travel Costs,4.05,62000,72
641,41000,Business Expansion,7.53,33000,60
651,63000,Equipment Purchase,6.78,52000,24
609,45000,Childcare Expenses,8.62,39000,72
751,14000,Inventory Purchase,2.81,13000,36
674,39000,Wedding Expenses,6.03,31000,72
659,49000,Marketing and Advertising,6.32,47000,12
691,12000,Debt Consolidation,6.18,9000,72
794,80000,Equipment Purchase,3.2,75000,12
691,34000,Childcare Expenses,5.84,28000,48
616,16000,Emergency Business Funds,7.64,15000,24
757,34000,Agriculture Expenses,2.87,30000,48
653,88000,Community Projects,6.21,74000,24
844,8000,Utility Payments,2.83,6000,12
747,15000,Home Renovation,4.99,12000,48
766,42000,Emergency Business Funds,3.01,37000,24
831,98000,Home Renovation,3.88,85000,48
636,92000,Healthcare Expenses,8.41,77000,72
717,27000,Education Fees,4.33,22000,72
687,42000,Agriculture Expenses,6.25,34000,60
685,100000,Equipment Purchase,6.56,85000,24
662,60000,Utility Payments,6.07,58000,24
672,30000,Social Enterprise,6.24,29000,36
712,25000,Vehicle for Business Use,4.12,21000,72
837,78000,Working Capital,2.95,73000,24
789,85000,Debt Consolidation,3.5,75000,48
627,27000,Inventory Purchase,8.63,26000,24
695,31000,Debt Consolidation,6.31,27000,60
822,19000,Home Renovation,3.6,15000,48
832,24000,Agriculture Expenses,3.95,23000,48
706,5000,Social Enterprise,5.45,4000,24
801,69000,Emergency Business Funds,3.06,58000,12
724,10000,Startup Capital,5.26,9000,12
781,14000,Childcare Expenses,3.17,12000,60
709,76000,Childcare Expenses,5.39,67000,60
794,98000,Startup Capital,2.8,95000,36
837,54000,Utility Payments,3.46,50000,12
607,6000,Utility Payments,8.94,5000,12
629,91000,Education Fees,8.26,73000,72
610,86000,Healthcare Expenses,7.15,83000,48
797,56000,Green Initiatives,3.8,54000,12
770,89000,Inventory Purchase,2.95,83000,12
808,31000,Vehicle for Business Use,3.23,28000,72
640,32000,Education Fees,8.37,29000,48
711,50000,Technology Upgrade,4.22,46000,12
835,89000,Vehicle for Business Use,3.75,84000,72
814,91000,Education Fees,3.29,73000,48
601,12000,Wedding Expenses,6.98,11000,60
630,58000,Vehicle for Business Use,8.51,56000,72
628,99000,Emergency Business Funds,8.55,98000,24
613,91000,Technology Upgrade,8.68,85000,24
632,76000,Working Capital,8.32,74000,36
700,50000,Utility Payments,5.35,45000,24
656,6000,Education Fees,5.61,5000,48
615,59000,Emergency Personal Funds,7.39,58000,72
773,9000,Green Initiatives,3.49,8000,36
620,22000,Emergency Personal Funds,7.1,19000,72
740,44000,Technology Upgrade,5.38,39000,12
821,51000,Working Capital,2.47,41000,36
732,16000,Education Fees,4.13,15000,60
660,56000,Technology Upgrade,5.83,50000,24
827,16000,Business Expansion,2.9,15000,72
685,56000,Healthcare Expenses,6.41,53000,48
807,78000,Business Expansion,3.49,73000,48
837,57000,Inventory Purchase,3.07,46000,12
798,19000,Agriculture Expenses,3.27,16000,72
644,73000,Emergency Business Funds,8.1,69000,12
729,35000,Home Renovation,4.43,30000,48
790,49000,Education Fees,3.74,45000,72
647,62000,Healthcare Expenses,7.13,56000,48
705,25000,Healthcare Expenses,4.56,20000,48
818,14000,Wedding Expenses,3.27,13000,48
624,61000,Home Renovation,8.18,50000,60
649,26000,Marketing and Advertising,8.19,23000,12
757,10000,Utility Payments,2.67,8000,12
615,76000,Healthcare Expenses,8.18,61000,72
818,84000,Home Renovation,2.63,68000,72
782,70000,Education Fees,3.04,62000,60
749,61000,Home Renovation,5.38,55000,48
600,28000,Marketing and Advertising,7.39,25000,24
724,38000,Working Capital,4.5,36000,36
632,67000,Green Initiatives,8.0,65000,24
817,88000,Vehicle for Business Use,3.52,80000,60
638,74000,Inventory Purchase,8.75,65000,36
678,55000,Business Expansion,6.37,53000,72
761,70000,Travel Costs,3.34,64000,72
769,16000,Community Projects,3.71,13000,24
781,62000,Agriculture Expenses,3.18,52000,60
832,54000,Childcare Expenses,3.2,45000,60
704,21000,Training and Development,4.79,17000,12
638,73000,Healthcare Expenses,7.75,69000,60
795,18000,Utility Payments,3.32,15000,36
697,42000,Agriculture Expenses,6.7,38000,60
631,13000,Home Renovation,8.67,11000,72
662,25000,Social Enterprise,6.67,22000,24
700,26000,Social Enterprise,4.33,24000,36
724,29000,Debt Consolidation,4.76,28000,72
779,76000,Home Renovation,3.17,63000,48
699,91000,Emergency Business Funds,5.58,80000,36
721,99000,Community Projects,5.31,97000,36
651,8000,Debt Consolidation,5.53,6000,72
644,7000,Marketing and Advertising,7.38,6000,24
609,99000,Community Projects,8.49,96000,24
775,78000,Childcare Expenses,2.57,68000,72
749,43000,Technology Upgrade,4.93,34000,36
684,98000,Inventory Purchase,6.91,95000,36
730,57000,Startup Capital,4.35,46000,12
680,16000,Community Projects,6.34,14000,36
747,17000,Home Renovation,5.43,14000,72
674,46000,Emergency Business Funds,5.5,40000,24
668,61000,Utility Payments,6.29,58000,12
812,85000,Agriculture Expenses,3.7,81000,72
679,70000,Wedding Expenses,5.94,61000,48
803,67000,Vehicle for Business Use,2.56,65000,48
823,24000,Emergency Business Funds,3.86,22000,36
823,43000,Healthcare Expenses,2.87,35000,72
849,84000,Working Capital,3.73,68000,36
839,33000,Home Renovation,3.63,30000,72
681,31000,Wedding Expenses,6.13,26000,48
676,43000,Equipment Purchase,6.14,35000,36
827,5000,Emergency Personal Funds,2.54,4000,60
646,18000,Childcare Expenses,8.17,14000,72
737,61000,Green Initiatives,4.83,51000,12
756,47000,Inventory Purchase,3.49,38000,12
770,68000,Vehicle for Business Use,3.81,62000,60
776,39000,Emergency Business Funds,3.83,33000,12
613,96000,Community Projects,8.04,89000,24
634,59000,Marketing and Advertising,8.74,48000,36
620,30000,Home Renovation,7.95,26000,48
758,59000,Travel Costs,2.8,58000,60
730,88000,Business Expansion,4.81,82000,48
792,44000,Social Enterprise,3.3,36000,12
668,96000,Training and Development,6.75,92000,36
722,32000,Equipment Purchase,4.08,31000,36
747,96000,Utility Payments,4.66,92000,12
687,9000,Travel Costs,6.36,8000,60
609,83000,Utility Payments,7.02,79000,12
821,42000,Debt Consolidation,3.65,41000,60
672,52000,Social Enterprise,5.67,51000,24
835,52000,Home Renovation,3.16,45000,48
832,9000,Vehicle for Business Use,3.93,7000,72
645,99000,Education Fees,7.65,95000,72
787,13000,Marketing and Advertising,3.22,11000,36
814,70000,Emergency Personal Funds,3.56,61000,72
758,84000,Wedding Expenses,3.56,74000,72
830,14000,Social Enterprise,3.85,12000,24
683,69000,Utility Payments,6.89,57000,36
841,9000,Business Expansion,3.27,8000,72
850,17000,Working Capital,2.56,14000,36
793,88000,Vehicle for Business Use,3.54,71000,72
714,64000,Travel Costs,4.28,61000,48
707,23000,Childcare Expenses,4.65,19000,60
667,44000,Utility Payments,5.79,37000,12
697,92000,Childcare Expenses,6.57,82000,48
757,65000,Vehicle for Business Use,2.46,57000,72
644,44000,Startup Capital,8.41,41000,24
652,45000,Startup Capital,6.44,37000,24
707,28000,Working Capital,4.68,23000,12
646,49000,Inventory Purchase,7.48,47000,36
640,45000,Travel Costs,7.56,41000,48
753,86000,Vehicle for Business Use,3.0,70000,72
647,38000,Community Projects,8.35,34000,36
841,78000,Emergency Business Funds,3.35,73000,24
739,31000,Healthcare Expenses,4.37,29000,72
678,29000,Social Enterprise,5.62,23000,24
686,21000,Green Initiatives,5.91,17000,24
636,28000,Emergency Business Funds,7.74,27000,24
806,39000,Travel Costs,3.04,36000,72
799,75000,Working Capital,2.67,69000,36
647,89000,Green Initiatives,7.38,72000,24
709,22000,Startup Capital,4.92,19000,36
848,58000,Green Initiatives,2.8,51000,36
684,63000,Debt Consolidation,6.22,60000,48
627,72000,Debt Consolidation,8.38,61000,60
803,28000,Vehicle for Business Use,3.4,22000,48
691,39000,Startup Capital,6.87,34000,24
770,64000,Agriculture Expenses,2.67,61000,60
650,19000,Wedding Expenses,6.5,16000,48
635,72000,Green Initiatives,7.88,62000,12
