CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
790,28000,Home Renovation,3.68,24000,48
800,52000,Emergency Business Funds,2.5,49000,24
820,100000,Technology Upgrade,3.82,89000,36
736,87000,Travel Costs,4.03,82000,72
709,70000,Utility Payments,4.56,62000,36
655,14000,Emergency Personal Funds,6.63,13000,48
783,34000,Green Initiatives,3.04,32000,36
690,92000,Utility Payments,5.85,73000,24
620,64000,Education Fees,8.77,58000,48
758,58000,Wedding Expenses,3.79,50000,60
847,66000,Debt Consolidation,3.05,57000,72
660,45000,Wedding Expenses,6.45,37000,48
686,60000,Startup Capital,6.26,54000,12
840,14000,Home Renovation,3.41,12000,48
642,54000,Marketing and Advertising,7.1,45000,12
779,64000,Utility Payments,3.73,52000,12
601,40000,Debt Consolidation,7.41,37000,60
776,83000,Social Enterprise,3.37,80000,12
626,87000,Training and Development,7.63,79000,12
806,100000,Wedding Expenses,3.61,91000,60
630,14000,Healthcare Expenses,7.19,11000,72
668,85000,Startup Capital,5.95,73000,24
732,21000,Business Expansion,4.51,20000,60
716,63000,Community Projects,4.63,52000,36
678,85000,Marketing and Advertising,6.41,81000,24
821,34000,Childcare Expenses,3.27,32000,72
739,65000,Education Fees,4.26,62000,72
667,51000,Wedding Expenses,6.95,49000,72
718,36000,Agriculture Expenses,3.96,32000,48
684,66000,Home Renovation,6.57,56000,72
828,43000,Inventory Purchase,3.15,39000,24
637,63000,Emergency Business Funds,7.8,57000,12
793,69000,Startup Capital,2.92,63000,24
832,47000,Wedding Expenses,3.64,40000,60
747,32000,Social Enterprise,5.15,29000,36
800,95000,Inventory Purchase,2.83,77000,24
726,75000,Equipment Purchase,3.98,62000,12
737,61000,Utility Payments,5.21,49000,36
623,63000,Inventory Purchase,8.46,61000,24
746,38000,Childcare Expenses,4.66,35000,72
732,38000,Business Expansion,4.37,33000,48
605,28000,Social Enterprise,7.76,22000,36
635,42000,Startup Capital,6.99,35000,12
766,65000,Technology Upgrade,3.0,52000,36
819,22000,Training and Development,2.72,21000,36
707,66000,Green Initiatives,5.4,65000,24
728,24000,Social Enterprise,5.38,21000,24
706,58000,Community Projects,4.46,48000,24
631,74000,Equipment Purchase,7.63,65000,24
663,13000,Healthcare Expenses,5.87,12000,72
768,23000,Healthcare Expenses,3.09,20000,60
639,100000,Agriculture Expenses,7.59,88000,48
655,75000,Vehicle for Business Use,6.92,62000,48
810,36000,Green Initiatives,2.7,34000,12
774,95000,Utility Payments,2.55,93000,36
627,83000,Emergency Personal Funds,8.78,81000,48
673,28000,Wedding Expenses,5.57,22000,60
747,67000,Wedding Expenses,5.02,59000,72
706,98000,Childcare Expenses,4.21,79000,60
774,89000,Training and Development,2.79,85000,24
847,31000,Technology Upgrade,2.94,25000,24
750,88000,Marketing and Advertising,3.74,74000,12
637,83000,Startup Capital,8.41,66000,36
604,87000,Utility Payments,7.39,73000,36
621,26000,Education Fees,8.81,22000,48
668,44000,Debt Consolidation,6.41,39000,60
762,87000,Debt Consolidation,3.44,78000,72
780,19000,Business Expansion,2.95,15000,48
632,98000,Emergency Business Funds,8.67,88000,36
751,62000,Healthcare Expenses,3.68,57000,72
681,41000,Emergency Personal Funds,6.56,38000,48
703,91000,Community Projects,5.08,88000,36
756,56000,Startup Capital,2.54,45000,24
608,22000,Utility Payments,7.02,21000,36
641,100000,Emergency Business Funds,7.93,86000,24
735,55000,Emergency Business Funds,5.0,47000,36
786,85000,Working Capital,3.45,84000,12
837,40000,Home Renovation,3.74,33000,48
658,75000,Education Fees,5.82,62000,48
846,52000,Travel Costs,3.04,47000,48
726,26000,Agriculture Expenses,4.65,21000,72
742,84000,Emergency Business Funds,4.88,68000,24
618,14000,Emergency Personal Funds,8.87,13000,72
616,16000,Wedding Expenses,7.63,15000,60
662,7000,Wedding Expenses,5.51,5000,48
714,23000,Childcare Expenses,4.59,19000,72
724,87000,Emergency Personal Funds,4.02,84000,60
661,81000,Equipment Purchase,5.61,74000,12
738,81000,Utility Payments,5.41,69000,36
739,81000,Green Initiatives,5.32,76000,36
603,29000,Business Expansion,7.88,25000,48
628,60000,Training and Development,7.25,48000,24
624,62000,Emergency Business Funds,7.39,50000,24
610,62000,Vehicle for Business Use,7.07,56000,48
652,38000,Wedding Expenses,5.55,33000,48
681,8000,Technology Upgrade,6.05,6000,24
732,11000,Vehicle for Business Use,4.22,10000,60
698,30000,Utility Payments,6.4,29000,36
761,68000,Green Initiatives,2.46,66000,24
826,96000,Marketing and Advertising,3.36,88000,12
626,47000,Green Initiatives,8.76,46000,36
695,6000,Home Renovation,6.92,5000,60
655,30000,Agriculture Expenses,5.75,24000,60
723,49000,Vehicle for Business Use,4.53,39000,48
778,63000,Healthcare Expenses,3.15,51000,48
813,12000,Utility Payments,2.65,9000,24
643,100000,Healthcare Expenses,7.16,82000,60
773,38000,Wedding Expenses,3.24,30000,60
724,20000,Education Fees,4.21,17000,60
665,78000,Business Expansion,6.8,65000,72
762,65000,Equipment Purchase,3.68,54000,24
675,46000,Technology Upgrade,6.85,41000,12
794,26000,Emergency Personal Funds,2.54,22000,72
826,77000,Healthcare Expenses,3.74,71000,60
778,71000,Wedding Expenses,3.65,59000,60
684,87000,Healthcare Expenses,6.94,75000,60
707,74000,Utility Payments,4.62,61000,36
795,19000,Wedding Expenses,3.81,16000,48
756,33000,Healthcare Expenses,2.96,31000,48
626,28000,Training and Development,8.25,22000,36
788,56000,Home Renovation,2.49,46000,48
612,97000,Business Expansion,8.57,77000,72
714,60000,Home Renovation,5.26,48000,48
745,95000,Training and Development,4.91,81000,24
720,6000,Community Projects,4.01,5000,36
820,79000,Education Fees,2.87,68000,60
802,13000,Working Capital,3.81,11000,36
707,64000,Working Capital,4.91,58000,12
615,97000,Childcare Expenses,7.51,79000,72
622,27000,Emergency Personal Funds,7.42,21000,72
646,24000,Emergency Business Funds,7.3,19000,24
769,38000,Social Enterprise,2.92,31000,36
770,66000,Childcare Expenses,3.77,62000,60
608,9000,Business Expansion,8.27,7000,60
634,58000,Marketing and Advertising,8.81,47000,36
626,100000,Technology Upgrade,7.38,91000,24
619,98000,Childcare Expenses,8.47,83000,60
679,28000,Healthcare Expenses,5.55,24000,48
634,72000,Utility Payments,7.16,64000,12
806,77000,Training and Development,3.6,73000,36
690,40000,Marketing and Advertising,6.42,38000,24
796,70000,Social Enterprise,3.85,62000,24
829,32000,Technology Upgrade,2.65,29000,24
838,26000,Business Expansion,3.89,20000,72
744,79000,Utility Payments,5.3,70000,12
724,36000,Education Fees,5.07,31000,72
761,5000,Healthcare Expenses,2.81,4000,48
629,38000,Business Expansion,8.62,34000,72
773,95000,Inventory Purchase,3.43,77000,12
823,79000,Healthcare Expenses,3.72,63000,72
784,20000,Business Expansion,3.95,16000,72
713,6000,Startup Capital,4.28,4000,36
751,8000,Equipment Purchase,3.45,7000,12
799,81000,Technology Upgrade,3.36,68000,36
602,72000,Education Fees,7.79,71000,60
674,85000,Emergency Personal Funds,6.75,76000,48
674,46000,Green Initiatives,6.08,39000,36
693,67000,Equipment Purchase,5.47,62000,12
688,74000,Emergency Business Funds,6.89,73000,36
645,100000,Travel Costs,6.96,98000,48
685,99000,Education Fees,5.89,96000,72
661,59000,Emergency Business Funds,6.88,56000,24
724,85000,Healthcare Expenses,4.69,80000,48
755,50000,Utility Payments,3.91,42000,12
793,29000,Business Expansion,3.27,23000,60
758,13000,Healthcare Expenses,3.83,11000,72
769,8000,Travel Costs,2.9,6000,60
737,22000,Childcare Expenses,5.12,20000,48
679,95000,Utility Payments,6.23,94000,36
627,88000,Education Fees,8.66,85000,48
817,36000,Debt Consolidation,3.89,31000,72
730,10000,Marketing and Advertising,4.86,9000,36
758,20000,Technology Upgrade,3.48,17000,36
655,82000,Technology Upgrade,6.69,68000,24
621,30000,Agriculture Expenses,8.18,29000,72
771,8000,Debt Consolidation,3.14,7000,60
699,5000,Debt Consolidation,6.22,4000,60
617,85000,Agriculture Expenses,7.95,68000,60
636,27000,Education Fees,7.65,23000,48
728,49000,Business Expansion,5.15,44000,48
785,41000,Social Enterprise,2.81,38000,24
780,30000,Education Fees,3.23,28000,72
777,8000,Social Enterprise,3.29,6000,24
696,73000,Debt Consolidation,5.51,66000,72
751,99000,Working Capital,3.56,80000,36
601,88000,Inventory Purchase,7.55,86000,12
721,45000,Wedding Expenses,4.58,43000,48
645,14000,Green Initiatives,8.06,11000,36
793,75000,Emergency Personal Funds,3.09,73000,60
822,24000,Agriculture Expenses,3.16,20000,60
642,15000,Home Renovation,7.96,12000,72
817,78000,Social Enterprise,3.58,73000,24
723,7000,Inventory Purchase,5.41,6000,12
677,17000,Training and Development,6.01,16000,12
753,91000,Emergency Personal Funds,2.8,90000,60
780,70000,Home Renovation,2.62,61000,72
642,89000,Equipment Purchase,8.54,73000,12
818,34000,Emergency Personal Funds,2.63,31000,72
604,21000,Business Expansion,7.86,20000,60
693,35000,Healthcare Expenses,6.22,30000,48
839,52000,Emergency Personal Funds,3.93,51000,72
614,90000,Utility Payments,8.17,83000,12
752,31000,Working Capital,3.57,27000,24
747,32000,Emergency Personal Funds,4.95,27000,60
850,96000,Vehicle for Business Use,2.69,93000,60
846,7000,Working Capital,2.69,6000,12
685,71000,Emergency Personal Funds,5.93,62000,72
697,73000,Education Fees,6.68,67000,48
749,30000,Utility Payments,5.5,26000,24
806,31000,Wedding Expenses,3.29,27000,48
785,42000,Utility Payments,3.23,37000,24
665,91000,Emergency Business Funds,5.83,73000,36
685,74000,Childcare Expenses,6.19,65000,72
846,91000,Vehicle for Business Use,3.84,87000,60
822,86000,Green Initiatives,2.88,84000,36
712,92000,Home Renovation,4.98,77000,72
812,6000,Education Fees,2.64,5000,60
683,55000,Education Fees,6.34,45000,48
647,44000,Green Initiatives,7.0,43000,12
804,99000,Business Expansion,3.36,93000,48
611,81000,Training and Development,7.68,76000,24
724,72000,Home Renovation,4.1,58000,60
769,89000,Marketing and Advertising,3.34,78000,12
767,100000,Education Fees,3.2,93000,72
720,90000,Technology Upgrade,5.38,82000,12
689,47000,Travel Costs,6.51,46000,60
628,22000,Vehicle for Business Use,7.84,19000,60
843,7000,Travel Costs,2.46,6000,72
742,59000,Community Projects,4.14,52000,36
732,23000,Wedding Expenses,5.44,20000,72
604,66000,Marketing and Advertising,8.94,65000,24
723,52000,Inventory Purchase,5.03,49000,36
660,23000,Marketing and Advertising,6.42,19000,12
781,74000,Inventory Purchase,2.67,61000,12
672,36000,Home Renovation,6.92,33000,60
640,6000,Green Initiatives,7.35,5000,24
696,16000,Business Expansion,6.39,12000,60
668,72000,Childcare Expenses,6.68,60000,60
688,34000,Training and Development,5.53,33000,24
764,99000,Community Projects,3.64,81000,24
689,25000,Agriculture Expenses,5.81,22000,48
641,38000,Green Initiatives,7.4,30000,36
775,74000,Technology Upgrade,3.57,65000,12
813,49000,Travel Costs,2.54,44000,48
724,95000,Marketing and Advertising,5.21,81000,24
726,55000,Training and Development,4.37,50000,36
631,9000,Social Enterprise,8.81,8000,36
829,56000,Travel Costs,2.97,45000,60
693,12000,Wedding Expenses,5.76,11000,48
600,70000,Home Renovation,7.2,62000,48
721,44000,Startup Capital,5.24,37000,24
731,16000,Community Projects,4.4,13000,12
850,84000,Social Enterprise,2.66,68000,24
717,47000,Agriculture Expenses,4.59,40000,60
829,86000,Inventory Purchase,2.75,70000,24
703,49000,Green Initiatives,3.99,41000,36
741,66000,Equipment Purchase,4.88,53000,36
664,13000,Marketing and Advertising,6.05,12000,12
637,16000,Wedding Expenses,7.04,14000,60
731,53000,Utility Payments,5.38,51000,12
645,76000,Education Fees,7.24,72000,48
708,87000,Wedding Expenses,3.98,81000,72
604,9000,Home Renovation,7.36,8000,48
818,70000,Green Initiatives,2.98,68000,36
740,30000,Working Capital,4.72,29000,36
790,68000,Travel Costs,2.86,66000,72
774,24000,Childcare Expenses,3.3,23000,48
747,43000,Emergency Personal Funds,4.31,37000,60
730,18000,Community Projects,4.87,17000,36
730,73000,Wedding Expenses,4.03,69000,48
849,26000,Business Expansion,3.95,25000,60
743,7000,Emergency Business Funds,4.97,6000,12
637,82000,Emergency Personal Funds,7.07,81000,72
742,74000,Travel Costs,4.33,68000,72
750,17000,Technology Upgrade,2.9,16000,12
800,62000,Agriculture Expenses,3.61,57000,60
796,48000,Vehicle for Business Use,2.98,44000,48
817,27000,Education Fees,2.92,25000,60
643,58000,Emergency Business Funds,8.68,48000,24
801,53000,Wedding Expenses,2.52,44000,60
759,39000,Vehicle for Business Use,3.89,36000,60
699,38000,Inventory Purchase,5.52,30000,12
695,92000,Agriculture Expenses,6.23,76000,60
725,34000,Training and Development,4.37,29000,12
810,85000,Agriculture Expenses,2.76,73000,72
681,63000,Green Initiatives,5.91,51000,36
662,16000,Training and Development,6.1,13000,36
744,54000,Healthcare Expenses,4.18,50000,48
819,53000,Wedding Expenses,2.81,42000,72
744,74000,Inventory Purchase,4.33,65000,24
667,18000,Healthcare Expenses,6.41,16000,72
629,30000,Business Expansion,7.6,29000,72
666,13000,Childcare Expenses,6.56,11000,60
684,60000,Green Initiatives,6.88,57000,12
678,20000,Wedding Expenses,6.9,16000,48
687,76000,Technology Upgrade,6.28,70000,12
629,25000,Agriculture Expenses,6.96,24000,60
649,83000,Inventory Purchase,7.97,82000,12
761,20000,Education Fees,3.6,19000,60
776,25000,Marketing and Advertising,2.94,24000,12
656,99000,Training and Development,6.35,97000,36
721,75000,Community Projects,5.04,64000,36
646,76000,Marketing and Advertising,7.74,67000,12
766,27000,Agriculture Expenses,2.76,22000,72
788,84000,Training and Development,2.97,76000,36
808,96000,Vehicle for Business Use,2.59,82000,72
677,64000,Healthcare Expenses,6.93,60000,72
816,37000,Community Projects,3.44,32000,24
741,36000,Home Renovation,4.24,30000,60
624,18000,Travel Costs,8.02,16000,60
834,64000,Emergency Personal Funds,3.65,59000,60
709,56000,Social Enterprise,4.93,45000,24
783,75000,Education Fees,3.8,62000,48
813,71000,Technology Upgrade,2.97,65000,24
765,55000,Community Projects,3.06,51000,36
616,49000,Utility Payments,7.4,39000,12
718,35000,Vehicle for Business Use,5.05,33000,72
806,81000,Utility Payments,2.47,65000,12
704,90000,Community Projects,5.27,79000,24
627,90000,Home Renovation,8.35,87000,72
665,37000,Technology Upgrade,6.55,32000,12
687,85000,Home Renovation,6.06,70000,72
724,13000,Startup Capital,4.33,11000,36
755,88000,Working Capital,3.75,80000,36
630,91000,Technology Upgrade,7.77,82000,36
835,13000,Vehicle for Business Use,2.79,10000,60
723,58000,Childcare Expenses,4.01,52000,72
664,75000,Emergency Business Funds,6.14,60000,12
693,11000,Debt Consolidation,5.47,10000,48
719,20000,Green Initiatives,5.07,16000,12
711,84000,Travel Costs,4.2,69000,60
784,30000,Startup Capital,3.21,26000,12
613,41000,Equipment Purchase,7.02,37000,24
631,12000,Utility Payments,8.35,11000,24
817,77000,Healthcare Expenses,2.73,69000,48
795,15000,Inventory Purchase,2.88,13000,36
663,42000,Social Enterprise,5.83,40000,24
821,80000,Wedding Expenses,2.77,76000,60
739,66000,Emergency Personal Funds,4.2,64000,48
842,81000,Training and Development,2.78,70000,24
629,72000,Green Initiatives,8.66,64000,36
715,48000,Equipment Purchase,4.8,43000,24
757,92000,Social Enterprise,3.47,83000,12
846,41000,Inventory Purchase,3.66,37000,36
686,22000,Education Fees,5.6,20000,60
738,18000,Healthcare Expenses,4.03,16000,48
711,13000,Social Enterprise,5.36,12000,12
770,88000,Startup Capital,3.67,73000,24
685,64000,Community Projects,5.65,60000,12
775,98000,Green Initiatives,3.56,83000,36
710,20000,Training and Development,4.05,19000,24
830,42000,Equipment Purchase,3.58,37000,36
848,23000,Wedding Expenses,3.8,19000,48
626,6000,Training and Development,8.52,5000,12
611,46000,Green Initiatives,8.14,41000,12
698,79000,Agriculture Expenses,6.53,69000,60
724,94000,Working Capital,4.53,84000,36
759,88000,Business Expansion,3.13,79000,72
616,64000,Marketing and Advertising,8.17,57000,12
621,83000,Technology Upgrade,7.56,66000,24
624,59000,Agriculture Expenses,7.31,58000,60
671,64000,Utility Payments,6.55,58000,36
709,85000,Education Fees,5.38,84000,48
740,25000,Wedding Expenses,4.43,20000,72
779,30000,Education Fees,2.62,28000,60
771,68000,Technology Upgrade,3.88,59000,12
636,19000,Equipment Purchase,6.96,18000,36
697,23000,Home Renovation,5.79,22000,72
728,21000,Startup Capital,5.13,19000,12
819,92000,Debt Consolidation,3.16,85000,72
832,65000,Inventory Purchase,3.4,58000,36
608,26000,Community Projects,7.81,23000,24
738,77000,Wedding Expenses,4.67,73000,48
784,68000,Healthcare Expenses,3.53,64000,72
691,50000,Vehicle for Business Use,5.94,46000,60
750,42000,Marketing and Advertising,2.46,34000,36
846,76000,Healthcare Expenses,3.02,63000,72
687,16000,Wedding Expenses,6.55,13000,60
740,94000,Business Expansion,4.22,89000,72
603,25000,Community Projects,8.52,22000,12
818,24000,Emergency Personal Funds,2.97,19000,72
795,40000,Working Capital,2.49,32000,36
761,6000,Education Fees,3.91,5000,48
790,66000,Wedding Expenses,3.57,64000,60
752,29000,Technology Upgrade,3.78,26000,12
603,18000,Wedding Expenses,7.67,16000,72
806,7000,Travel Costs,3.16,6000,60
714,73000,Home Renovation,4.8,63000,72
646,34000,Healthcare Expenses,8.07,27000,60
725,25000,Marketing and Advertising,4.4,21000,12
722,41000,Vehicle for Business Use,5.18,40000,72
833,74000,Wedding Expenses,3.86,64000,48
636,67000,Healthcare Expenses,7.32,66000,72
720,93000,Marketing and Advertising,4.94,79000,36
750,83000,Community Projects,3.95,79000,12
738,87000,Vehicle for Business Use,4.32,80000,60
849,18000,Equipment Purchase,3.92,16000,36
811,78000,Marketing and Advertising,3.63,73000,12
796,75000,Agriculture Expenses,3.81,60000,48
821,27000,Travel Costs,2.64,24000,60
614,43000,Startup Capital,8.67,34000,24
620,7000,Agriculture Expenses,8.39,6000,72
820,44000,Healthcare Expenses,2.8,37000,48
827,63000,Emergency Personal Funds,3.42,51000,60
825,100000,Marketing and Advertising,2.51,98000,12
653,43000,Working Capital,5.79,40000,12
641,53000,Vehicle for Business Use,7.26,51000,48
689,46000,Debt Consolidation,5.56,39000,60
607,80000,Community Projects,6.97,64000,12
832,96000,Green Initiatives,3.71,81000,12
631,70000,Community Projects,7.62,61000,24
603,15000,Green Initiatives,7.56,14000,24
800,61000,Emergency Personal Funds,2.69,54000,72
672,32000,Vehicle for Business Use,5.95,30000,60
821,78000,Emergency Business Funds,2.79,69000,12
647,14000,Inventory Purchase,7.13,13000,12
720,69000,Emergency Personal Funds,4.89,68000,60
800,25000,Green Initiatives,3.41,22000,24
797,90000,Social Enterprise,3.65,86000,12
691,92000,Utility Payments,6.58,81000,36
646,53000,Startup Capital,8.45,47000,24
763,13000,Childcare Expenses,3.73,10000,72
822,50000,Green Initiatives,3.29,49000,12
749,53000,Travel Costs,4.31,42000,60
713,33000,Childcare Expenses,5.01,30000,60
751,14000,Social Enterprise,3.22,12000,12
691,60000,Social Enterprise,6.29,48000,36
696,24000,Startup Capital,6.38,22000,24
723,56000,Inventory Purchase,4.65,53000,36
667,27000,Utility Payments,5.95,23000,24
826,86000,Startup Capital,3.13,70000,36
695,53000,Training and Development,5.84,48000,36
617,22000,Social Enterprise,7.16,18000,24
646,23000,Agriculture Expenses,8.93,21000,48
743,50000,Vehicle for Business Use,4.85,44000,72
809,57000,Healthcare Expenses,3.31,50000,72
642,73000,Emergency Business Funds,8.36,64000,24
695,74000,Community Projects,6.04,61000,24
700,66000,Healthcare Expenses,5.15,53000,60
745,90000,Wedding Expenses,4.23,78000,48
615,91000,Equipment Purchase,7.16,81000,24
613,21000,Marketing and Advertising,7.61,19000,24
773,51000,Community Projects,3.33,50000,12
723,54000,Business Expansion,4.65,49000,72
774,5000,Travel Costs,2.75,4000,72
687,7000,Community Projects,6.09,5000,12
690,22000,Business Expansion,5.85,21000,48
688,18000,Travel Costs,6.53,17000,60
733,17000,Equipment Purchase,4.51,16000,36
625,61000,Vehicle for Business Use,8.53,53000,72
736,25000,Education Fees,4.21,22000,48
846,14000,Social Enterprise,2.87,12000,12
607,26000,Agriculture Expenses,7.39,24000,72
766,17000,Inventory Purchase,3.69,15000,12
685,61000,Home Renovation,6.17,52000,72
678,37000,Emergency Personal Funds,6.56,34000,48
630,30000,Green Initiatives,7.42,27000,36
715,78000,Startup Capital,4.48,66000,12
788,5000,Business Expansion,2.48,4000,48
687,23000,Equipment Purchase,5.87,21000,24
716,92000,Social Enterprise,5.21,82000,36
850,62000,Agriculture Expenses,3.28,54000,48
783,37000,Wedding Expenses,3.09,35000,60
819,43000,Debt Consolidation,3.0,42000,60
845,72000,Childcare Expenses,3.02,59000,60
830,56000,Equipment Purchase,2.67,47000,12
823,58000,Agriculture Expenses,3.63,50000,72
658,74000,Startup Capital,6.0,73000,12
698,14000,Social Enterprise,6.44,13000,12
850,29000,Working Capital,3.6,26000,12
748,60000,Startup Capital,4.52,57000,12
837,69000,Equipment Purchase,3.93,68000,12
676,71000,Home Renovation,6.37,57000,48
698,83000,Training and Development,5.59,74000,24
613,82000,Travel Costs,8.38,76000,72
832,96000,Startup Capital,2.71,92000,24
775,37000,Social Enterprise,3.31,33000,24
721,33000,Education Fees,4.09,30000,72
741,77000,Wedding Expenses,4.53,68000,72
751,78000,Debt Consolidation,2.67,67000,60
617,33000,Inventory Purchase,8.75,29000,24
823,57000,Home Renovation,2.74,47000,72
607,59000,Green Initiatives,8.68,54000,36
797,74000,Emergency Personal Funds,3.73,65000,48
833,57000,Social Enterprise,3.76,47000,24
682,41000,Marketing and Advertising,5.99,36000,24
678,59000,Emergency Personal Funds,6.66,56000,48
834,30000,Agriculture Expenses,2.98,25000,48
827,100000,Equipment Purchase,2.87,87000,36
702,39000,Green Initiatives,5.01,35000,24
616,12000,Healthcare Expenses,7.4,10000,48
825,8000,Marketing and Advertising,2.57,6000,36
614,18000,Green Initiatives,8.14,17000,36
752,58000,Agriculture Expenses,3.49,57000,48
619,83000,Healthcare Expenses,7.4,71000,60
771,60000,Startup Capital,3.02,55000,12
622,51000,Childcare Expenses,7.76,45000,72
806,47000,Inventory Purchase,3.29,44000,24
785,87000,Technology Upgrade,2.77,79000,24
769,57000,Equipment Purchase,3.89,51000,24
790,62000,Working Capital,2.81,52000,12
772,82000,Training and Development,2.58,69000,24
807,62000,Social Enterprise,3.57,57000,36
806,34000,Emergency Personal Funds,2.85,27000,72
647,43000,Debt Consolidation,7.94,39000,60
621,77000,Working Capital,8.74,65000,24
718,91000,Working Capital,4.61,80000,36
648,42000,Working Capital,8.31,35000,36
644,59000,Inventory Purchase,7.22,49000,24
787,49000,Vehicle for Business Use,3.86,40000,72
840,12000,Business Expansion,3.25,11000,48
825,47000,Healthcare Expenses,3.03,42000,60
611,85000,Social Enterprise,7.89,75000,24
696,42000,Community Projects,5.87,35000,24
759,70000,Technology Upgrade,2.69,65000,24
793,17000,Emergency Business Funds,3.58,15000,24
655,24000,Equipment Purchase,6.13,23000,12
835,35000,Debt Consolidation,2.73,33000,72
659,92000,Wedding Expenses,6.95,83000,60
803,57000,Debt Consolidation,3.01,50000,72
716,42000,Startup Capital,4.82,40000,12
845,51000,Inventory Purchase,3.73,44000,12
636,39000,Vehicle for Business Use,7.35,32000,60
648,59000,Equipment Purchase,8.37,54000,12
680,82000,Debt Consolidation,5.98,68000,72
812,78000,Startup Capital,3.1,68000,36
771,75000,Startup Capital,3.52,67000,24
766,50000,Technology Upgrade,3.09,40000,12
628,85000,Travel Costs,8.46,76000,60
698,92000,Startup Capital,6.36,81000,24
687,14000,Community Projects,6.34,12000,36
692,20000,Green Initiatives,6.68,17000,24
817,74000,Debt Consolidation,3.87,68000,72
716,8000,Emergency Personal Funds,4.95,7000,60
843,37000,Education Fees,2.94,33000,48
630,84000,Utility Payments,7.55,77000,36
656,72000,Community Projects,5.62,68000,36
684,40000,Emergency Personal Funds,6.74,35000,72
788,22000,Childcare Expenses,2.91,21000,60
796,89000,Healthcare Expenses,3.17,76000,72
717,55000,Agriculture Expenses,5.21,50000,48
810,33000,Wedding Expenses,3.93,26000,60
717,36000,Equipment Purchase,5.06,31000,36
662,46000,Community Projects,6.91,45000,36
689,16000,Home Renovation,5.74,15000,60
758,37000,Working Capital,2.82,36000,24
786,55000,Healthcare Expenses,2.64,52000,72
771,29000,Marketing and Advertising,3.28,28000,24
731,80000,Business Expansion,4.29,70000,72
706,77000,Community Projects,5.04,68000,24
624,72000,Debt Consolidation,7.56,68000,60
646,95000,Debt Consolidation,8.14,84000,72
844,80000,Equipment Purchase,3.85,78000,36
606,86000,Technology Upgrade,7.18,82000,12
835,58000,Emergency Personal Funds,3.41,53000,72
698,69000,Emergency Business Funds,5.63,63000,12
769,88000,Emergency Personal Funds,3.37,80000,48
813,15000,Wedding Expenses,2.55,13000,48
626,74000,Healthcare Expenses,8.26,73000,48
791,85000,Inventory Purchase,3.01,80000,24
637,55000,Emergency Business Funds,7.28,49000,36
738,100000,Social Enterprise,4.21,93000,36
762,16000,Social Enterprise,2.59,15000,12
672,80000,Debt Consolidation,6.25,78000,72
779,44000,Agriculture Expenses,2.65,41000,60
735,36000,Startup Capital,4.15,34000,12
