,loan_amnt,loan_intent,loan_int_rate,credit_score,loan_term
225,25000,VENTURE,15.21,642,41
226,6250,VENTURE,14.72,580,55
227,25000,PERSONAL,15.7,622,46
228,25000,EDUCATION,13.35,581,56
229,1500,MEDICAL,0.0,623,45
230,25000,EDUCATION,6.62,583,39
231,25000,DEBTCONSOLIDATION,13.61,645,51
232,25000,MEDICAL,0.0,593,13
233,5000,PERSONAL,0.0,659,40
234,22000,HOMEIMPROVEMENT,0.0,655,34
235,2500,EDUCATION,0.0,583,40
236,20000,DEBTCONSOLIDATION,13.47,582,37
237,20000,MEDICAL,0.0,504,45
238,1000,EDUCATION,0.0,551,63
239,15000,PERSONAL,0.0,529,34
240,25000,DEBTCONSOLIDATION,16.35,674,60
241,25000,DEBTCONSOLIDATION,11.01,595,44
242,25000,DEBTCONSOLIDATION,7.29,597,49
243,25000,MEDICAL,11.36,566,34
244,25000,VENTURE,0.0,666,47
245,25000,EDUCATION,0.0,695,85
246,25000,PERSONAL,0.0,576,57
247,18000,EDUCATION,0.0,651,112
248,28000,PERSONAL,0.0,633,53
249,4000,HOMEIMPROVEMENT,16.7,566,27
250,2100,PERSONAL,0.0,583,21
251,25000,PERSONAL,0.0,586,37
252,25000,MEDICAL,0.0,592,44
253,14000,VENTURE,0.0,598,47
254,12000,VENTURE,0.0,637,32
255,10000,MEDICAL,18.25,628,35
256,6000,DEBTCONSOLIDATION,11.01,667,52
257,25000,HOMEIMPROVEMENT,0.0,621,49
258,25000,VENTURE,14.7,668,26
259,25000,DEBTCONSOLIDATION,16.02,544,46
260,25000,MEDICAL,15.37,699,25
261,25000,MEDICAL,0.0,611,12
262,6200,HOMEIMPROVEMENT,7.9,615,48
263,25000,PERSONAL,0.0,559,28
264,21000,EDUCATION,0.0,577,50
265,20000,MEDICAL,0.0,657,30
266,10000,HOMEIMPROVEMENT,0.0,676,47
267,9950,VENTURE,0.0,601,45
268,4475,MEDICAL,11.01,647,19
269,25000,VENTURE,16.32,576,25
270,25000,MEDICAL,17.93,612,25
271,25000,DEBTCONSOLIDATION,0.0,678,14
272,25000,DEBTCONSOLIDATION,14.96,542,55
273,25000,PERSONAL,0.0,709,12
274,25000,HOMEIMPROVEMENT,0.0,622,35
275,25000,VENTURE,0.0,642,49
276,25000,VENTURE,0.0,660,29
277,1750,MEDICAL,0.0,587,45
278,25000,MEDICAL,19.04,646,20
279,25000,DEBTCONSOLIDATION,15.95,637,36
280,2600,VENTURE,0.0,718,53
281,8000,HOMEIMPROVEMENT,0.0,588,48
282,18000,EDUCATION,0.0,652,48
283,21000,PERSONAL,0.0,620,28
284,4000,DEBTCONSOLIDATION,13.98,667,14
285,4600,VENTURE,10.99,688,26
286,25000,DEBTCONSOLIDATION,15.58,667,13
287,25000,MEDICAL,10.99,692,37
288,25000,VENTURE,14.96,562,25
289,1750,HOMEIMPROVEMENT,0.0,625,44
290,25000,VENTURE,15.65,649,25
291,25000,VENTURE,0.0,545,48
292,3600,PERSONAL,13.47,540,55
293,25000,PERSONAL,0.0,637,28
294,25000,HOMEIMPROVEMENT,16.77,600,44
295,25000,DEBTCONSOLIDATION,14.59,633,14
296,3500,VENTURE,0.0,588,42
297,7200,EDUCATION,0.0,624,112
298,9000,VENTURE,0.0,525,43
299,8800,DEBTCONSOLIDATION,0.0,616,20
300,12000,DEBTCONSOLIDATION,0.0,675,12
301,25000,DEBTCONSOLIDATION,16.0,662,55
302,10000,VENTURE,0.0,585,49
303,3175,HOMEIMPROVEMENT,11.54,686,38
304,25000,HOMEIMPROVEMENT,15.68,595,46
305,1500,EDUCATION,0.0,537,98
306,25000,HOMEIMPROVEMENT,12.61,625,52
307,25000,PERSONAL,0.0,641,40
308,2800,PERSONAL,8.49,661,28
309,30000,PERSONAL,17.27,577,21
310,18000,DEBTCONSOLIDATION,0.0,537,21
311,10000,MEDICAL,0.0,646,24
312,25000,HOMEIMPROVEMENT,14.59,653,56
313,13000,VENTURE,0.0,654,52
314,25000,MEDICAL,11.01,635,25
315,25000,HOMEIMPROVEMENT,0.0,675,60
316,2500,HOMEIMPROVEMENT,12.53,618,28
317,5000,MEDICAL,16.49,609,41
318,20000,EDUCATION,0.0,545,46
319,25000,DEBTCONSOLIDATION,14.96,629,48
320,25000,MEDICAL,0.0,539,19
321,25000,EDUCATION,0.0,593,80
322,25000,MEDICAL,0.0,683,16
323,25000,EDUCATION,0.0,670,64
324,25000,MEDICAL,15.33,662,45
325,1000,VENTURE,0.0,681,25
326,25000,PERSONAL,15.05,636,57
327,25000,PERSONAL,0.0,677,12
328,25000,EDUCATION,0.0,656,44
329,25000,VENTURE,0.0,674,31
330,20000,EDUCATION,0.0,587,97
331,12000,VENTURE,0.0,658,36
332,14000,PERSONAL,0.0,581,56
333,24250,MEDICAL,0.0,606,27
334,20000,EDUCATION,0.0,648,58
335,1800,HOMEIMPROVEMENT,0.0,563,44
336,35000,PERSONAL,0.0,589,36
337,25000,DEBTCONSOLIDATION,0.0,641,36
338,3300,HOMEIMPROVEMENT,6.39,637,50
339,25000,PERSONAL,0.0,578,49
340,25000,MEDICAL,0.0,660,43
341,3200,VENTURE,18.09,586,28
342,25000,EDUCATION,0.0,567,108
343,25000,DEBTCONSOLIDATION,0.0,582,23
344,25000,EDUCATION,0.0,712,86
345,25000,EDUCATION,0.0,674,53
346,9600,EDUCATION,0.0,532,114
347,24000,DEBTCONSOLIDATION,15.62,670,37
348,20000,PERSONAL,0.0,658,50
349,25000,HOMEIMPROVEMENT,0.0,669,26
350,20000,EDUCATION,0.0,681,108
351,6000,MEDICAL,7.9,618,40
352,2275,DEBTCONSOLIDATION,0.0,573,39
353,2000,PERSONAL,0.0,491,30
354,25000,DEBTCONSOLIDATION,14.93,590,31
355,5600,MEDICAL,12.84,587,31
356,3625,VENTURE,17.14,648,48
357,5500,VENTURE,7.14,687,33
358,25000,PERSONAL,0.0,621,12
359,2000,PERSONAL,0.0,590,37
360,25000,HOMEIMPROVEMENT,0.0,676,43
361,25000,PERSONAL,0.0,677,23
362,30000,VENTURE,0.0,651,53
363,35000,MEDICAL,0.0,602,25
364,25000,VENTURE,0.0,652,35
365,5000,PERSONAL,8.94,572,28
366,4375,VENTURE,9.63,528,30
367,24750,PERSONAL,14.22,638,21
368,24750,DEBTCONSOLIDATION,9.33,655,35
369,24500,MEDICAL,0.0,627,42
370,2000,EDUCATION,0.0,596,88
371,24500,MEDICAL,0.0,694,17
372,35000,PERSONAL,0.0,684,19
373,12000,VENTURE,0.0,547,50
374,12000,PERSONAL,0.0,586,59
375,25000,PERSONAL,0.0,694,15
376,10000,MEDICAL,14.09,639,20
377,24250,PERSONAL,13.98,663,38
378,24250,EDUCATION,10.62,528,98
379,3900,DEBTCONSOLIDATION,11.01,636,58
380,24250,PERSONAL,17.56,603,36
381,24250,MEDICAL,14.96,507,16
382,24250,DEBTCONSOLIDATION,15.65,692,30
383,24250,MEDICAL,15.7,604,28
384,24250,VENTURE,0.0,622,50
385,24250,HOMEIMPROVEMENT,17.56,643,30
386,24250,PERSONAL,0.0,565,26
387,24250,PERSONAL,0.0,718,54
388,9000,EDUCATION,0.0,625,55
389,15000,VENTURE,0.0,614,48
390,20000,VENTURE,0.0,690,44
391,25000,EDUCATION,0.0,564,117
392,13750,DEBTCONSOLIDATION,0.0,579,57
393,15250,VENTURE,0.0,648,37
394,20000,VENTURE,0.0,531,37
395,4750,HOMEIMPROVEMENT,13.85,658,36
396,24250,PERSONAL,0.0,574,31
397,6000,VENTURE,10.39,671,35
398,24250,HOMEIMPROVEMENT,0.0,633,45
399,24250,EDUCATION,0.0,631,108
400,24250,EDUCATION,0.0,652,116
401,24150,HOMEIMPROVEMENT,14.96,683,46
402,24000,DEBTCONSOLIDATION,13.85,693,17
403,24000,VENTURE,11.58,603,26
404,24000,VENTURE,16.29,522,52
405,24000,MEDICAL,11.01,664,30
406,24000,EDUCATION,16.29,645,85
407,24000,PERSONAL,10.74,592,39
408,2250,EDUCATION,0.0,636,92
409,24000,PERSONAL,17.8,672,37
410,1000,VENTURE,0.0,686,38
411,24000,MEDICAL,17.56,590,44
412,24000,PERSONAL,7.9,636,26
413,24000,PERSONAL,10.99,580,43
414,24000,PERSONAL,7.29,674,43
415,24000,MEDICAL,10.75,601,40
416,24000,DEBTCONSOLIDATION,7.9,620,40
417,24000,EDUCATION,14.84,642,116
418,24000,DEBTCONSOLIDATION,11.01,616,32
419,4975,EDUCATION,11.01,588,52
420,24000,DEBTCONSOLIDATION,19.69,585,37
421,24000,VENTURE,11.01,632,39
422,24000,VENTURE,14.96,556,45
423,24000,EDUCATION,6.99,602,63
424,24000,PERSONAL,16.45,639,42
425,24000,EDUCATION,10.99,603,110
426,24000,DEBTCONSOLIDATION,10.99,689,25
427,3000,PERSONAL,7.9,672,21
428,24000,EDUCATION,12.69,499,73
429,24000,MEDICAL,10.37,643,17
430,24000,HOMEIMPROVEMENT,11.01,589,54
431,24000,DEBTCONSOLIDATION,15.83,646,14
432,24000,PERSONAL,13.92,613,22
433,2000,VENTURE,0.0,567,54
434,24000,MEDICAL,0.0,603,20
435,3500,HOMEIMPROVEMENT,7.49,647,44
436,4000,EDUCATION,5.99,645,69
437,24000,PERSONAL,12.92,672,39
438,24000,PERSONAL,0.0,648,55
439,24000,EDUCATION,0.0,653,101
440,24000,DEBTCONSOLIDATION,19.69,590,23
441,24000,VENTURE,0.0,704,60
442,4900,HOMEIMPROVEMENT,14.54,674,55
443,5000,EDUCATION,11.11,594,36
444,24000,PERSONAL,0.0,626,50
445,24000,VENTURE,0.0,701,41
446,6250,HOMEIMPROVEMENT,6.54,602,37
447,24000,DEBTCONSOLIDATION,11.01,503,57
448,24000,DEBTCONSOLIDATION,20.0,657,34
449,24000,EDUCATION,0.0,638,56
450,24000,VENTURE,0.0,646,43
451,24000,EDUCATION,20.0,678,107
452,24000,PERSONAL,0.0,684,24
453,2500,MEDICAL,15.95,594,27
454,24000,DEBTCONSOLIDATION,0.0,538,48
455,24000,PERSONAL,0.0,662,45
456,24000,HOMEIMPROVEMENT,0.0,636,36
457,24000,MEDICAL,20.0,613,36
458,24000,EDUCATION,0.0,573,45
459,24000,DEBTCONSOLIDATION,16.0,714,43
460,13000,PERSONAL,7.88,640,28
461,6250,VENTURE,10.62,637,60
462,24000,DEBTCONSOLIDATION,0.0,633,49
463,24000,EDUCATION,18.3,615,103
464,24000,DEBTCONSOLIDATION,0.0,552,49
465,2500,PERSONAL,0.0,670,29
466,23975,HOMEIMPROVEMENT,11.01,678,31
467,23750,MEDICAL,0.0,676,34
468,23600,PERSONAL,11.89,624,49
469,10000,DEBTCONSOLIDATION,12.18,649,32
470,23600,DEBTCONSOLIDATION,0.0,555,52
471,23575,PERSONAL,14.5,613,46
472,4000,MEDICAL,11.01,684,18
473,5400,MEDICAL,15.31,647,12
474,4000,MEDICAL,11.01,580,19
475,3375,VENTURE,11.01,630,47
476,23400,VENTURE,7.49,589,30
477,23000,PERSONAL,11.01,621,35
478,23000,EDUCATION,11.01,665,72
479,23000,VENTURE,12.18,668,45
480,1200,VENTURE,0.0,615,34
481,23000,EDUCATION,9.91,604,43
482,23000,HOMEIMPROVEMENT,11.99,620,57
483,23000,EDUCATION,9.62,558,109
484,3000,DEBTCONSOLIDATION,9.96,603,15
485,23000,VENTURE,0.0,683,45
486,23000,VENTURE,14.54,641,55
487,22750,MEDICAL,11.36,521,31
488,22500,DEBTCONSOLIDATION,14.27,655,22
489,3000,HOMEIMPROVEMENT,11.99,663,26
490,22500,EDUCATION,18.99,605,98
491,22400,VENTURE,16.7,708,35
492,5000,PERSONAL,9.32,571,42
493,22250,DEBTCONSOLIDATION,12.69,678,49
494,22000,HOMEIMPROVEMENT,13.11,597,32
495,22000,PERSONAL,10.74,689,27
496,4200,PERSONAL,14.11,675,38
497,22000,EDUCATION,9.63,591,103
498,22000,MEDICAL,14.65,616,39
499,22000,DEBTCONSOLIDATION,10.25,640,27
500,22000,VENTURE,14.26,593,60
501,3000,EDUCATION,9.91,649,80
502,22000,MEDICAL,17.19,645,34
503,22000,EDUCATION,11.36,537,62
504,22000,EDUCATION,11.01,635,115
505,22000,DEBTCONSOLIDATION,0.0,640,12
506,22000,EDUCATION,0.0,625,111
507,3625,MEDICAL,8.49,557,16
508,22000,VENTURE,0.0,643,52
509,6000,MEDICAL,8.49,631,39
510,22000,MEDICAL,0.0,653,39
511,22000,VENTURE,0.0,623,60
512,7400,MEDICAL,13.85,662,18
513,4000,DEBTCONSOLIDATION,7.4,667,19
514,22000,DEBTCONSOLIDATION,0.0,586,52
515,22000,PERSONAL,11.48,719,43
516,22000,EDUCATION,17.51,646,106
517,3500,DEBTCONSOLIDATION,14.61,646,15
518,22000,DEBTCONSOLIDATION,0.0,646,23
519,22000,PERSONAL,0.0,643,56
520,4950,PERSONAL,11.71,594,54
521,21700,PERSONAL,11.99,664,44
522,21600,VENTURE,13.49,605,56
523,21600,MEDICAL,20.0,646,23
524,21600,DEBTCONSOLIDATION,14.35,655,60
525,21600,PERSONAL,0.0,597,17
526,21600,DEBTCONSOLIDATION,11.26,679,58
527,2400,VENTURE,0.0,654,34
528,21600,MEDICAL,0.0,556,28
529,7000,HOMEIMPROVEMENT,5.99,694,55
530,3000,EDUCATION,11.99,587,37
531,21500,MEDICAL,16.89,620,44
532,21500,HOMEIMPROVEMENT,9.99,701,34
533,21500,EDUCATION,0.0,572,76
534,21450,EDUCATION,7.29,671,38
535,21250,DEBTCONSOLIDATION,12.42,599,13
536,21250,VENTURE,10.99,610,32
537,21250,VENTURE,6.91,588,43
538,5000,DEBTCONSOLIDATION,14.17,691,59
539,21250,MEDICAL,10.25,645,16
540,9250,EDUCATION,11.01,618,100
541,21250,VENTURE,15.95,672,60
542,21250,EDUCATION,15.95,650,40
543,21000,VENTURE,12.53,687,59
544,1400,HOMEIMPROVEMENT,14.91,535,29
545,3000,MEDICAL,11.01,604,29
546,21000,MEDICAL,6.54,601,48
547,1000,VENTURE,0.0,612,45
548,21000,MEDICAL,17.26,666,33
549,21000,MEDICAL,11.36,645,12
550,4000,VENTURE,7.51,678,25
551,21000,PERSONAL,10.71,644,35
552,21000,PERSONAL,0.0,614,22
553,21000,DEBTCONSOLIDATION,14.09,627,36
554,21000,EDUCATION,0.0,523,39
555,5000,MEDICAL,15.33,571,28
556,21000,MEDICAL,16.32,546,27
557,21000,HOMEIMPROVEMENT,0.0,640,51
558,21000,MEDICAL,0.0,648,41
559,21000,MEDICAL,0.0,593,40
560,21000,HOMEIMPROVEMENT,0.0,658,32
561,21000,EDUCATION,0.0,701,40
562,21000,EDUCATION,16.95,702,90
563,21000,EDUCATION,0.0,711,92
564,21000,EDUCATION,0.0,570,88
565,21000,PERSONAL,16.49,637,47
566,7500,PERSONAL,11.97,621,28
567,6250,DEBTCONSOLIDATION,6.17,637,40
568,21000,HOMEIMPROVEMENT,0.0,534,28
569,21000,EDUCATION,0.0,577,69
570,20900,PERSONAL,0.0,638,39
571,15000,EDUCATION,9.64,548,52
572,20500,VENTURE,7.49,676,45
573,20500,EDUCATION,0.0,641,114
574,2100,EDUCATION,0.0,630,50
575,20400,EDUCATION,0.0,805,71
576,20375,PERSONAL,7.49,518,53
577,20050,EDUCATION,9.76,652,118
578,20000,DEBTCONSOLIDATION,10.99,600,60
579,5000,PERSONAL,0.0,649,43
580,9250,PERSONAL,0.0,576,13
581,20000,MEDICAL,12.53,600,44
582,20000,MEDICAL,14.59,654,14
583,20000,DEBTCONSOLIDATION,12.61,593,51
584,20000,MEDICAL,13.11,614,13
585,6400,MEDICAL,0.0,638,29
586,20000,PERSONAL,11.22,633,59
587,20000,EDUCATION,16.0,649,51
588,20000,HOMEIMPROVEMENT,8.88,591,45
589,20000,PERSONAL,12.53,656,50
590,20000,MEDICAL,11.01,637,23
591,4800,MEDICAL,0.0,682,13
592,20000,EDUCATION,13.47,645,42
593,20000,VENTURE,6.99,602,55
594,5650,PERSONAL,0.0,637,22
595,3625,EDUCATION,0.0,662,94
596,20000,DEBTCONSOLIDATION,16.69,447,57
597,20000,MEDICAL,11.11,636,45
598,20000,EDUCATION,7.9,631,49
599,20000,PERSONAL,10.25,632,27
600,20000,MEDICAL,11.01,670,47
601,1200,MEDICAL,0.0,700,35
602,20000,DEBTCONSOLIDATION,13.92,650,41
603,20000,MEDICAL,14.74,665,44
604,20000,EDUCATION,10.62,582,92
605,20000,VENTURE,10.65,656,59
606,20000,PERSONAL,12.99,635,31
607,20000,VENTURE,11.36,672,60
608,7500,EDUCATION,0.0,612,74
609,20000,EDUCATION,6.54,615,94
610,4000,VENTURE,0.0,725,28
611,20000,DEBTCONSOLIDATION,7.49,639,26
612,20000,EDUCATION,13.43,691,40
613,20000,DEBTCONSOLIDATION,13.22,681,20
614,5000,VENTURE,0.0,604,37
615,20000,EDUCATION,15.68,688,96
616,20000,MEDICAL,11.01,672,47
617,20000,HOMEIMPROVEMENT,11.48,680,25
618,20000,VENTURE,10.38,640,24
619,20000,EDUCATION,12.53,629,107
620,20000,EDUCATION,13.47,677,63
621,20000,VENTURE,12.21,571,58
622,20000,VENTURE,10.99,647,53
623,20000,EDUCATION,11.36,568,63
624,20000,DEBTCONSOLIDATION,16.0,700,29
625,1500,PERSONAL,0.0,570,50
626,20000,EDUCATION,15.65,633,47
627,20000,DEBTCONSOLIDATION,11.78,646,32
628,20000,HOMEIMPROVEMENT,11.01,614,36
629,20000,MEDICAL,16.77,532,34
630,20000,EDUCATION,9.91,617,77
631,20000,MEDICAL,15.65,603,12
632,20000,MEDICAL,14.96,588,40
633,20000,VENTURE,11.83,668,26
634,20000,MEDICAL,11.66,643,47
635,20000,EDUCATION,12.18,639,103
636,20000,HOMEIMPROVEMENT,6.91,525,35
637,20000,DEBTCONSOLIDATION,6.91,666,56
638,20000,HOMEIMPROVEMENT,19.79,642,37
639,20000,VENTURE,9.88,646,28
640,16600,PERSONAL,0.0,634,54
641,20000,DEBTCONSOLIDATION,12.53,655,47
642,20000,VENTURE,11.01,682,43
643,7125,PERSONAL,0.0,631,60
